LEA,LEADescription,Enrollment,NativeAmericanOrAlaskan,Hispanic,NativeHawaiianOrPacificIslander,BlackAfricanAmerican,TwoOrMoreRaces,White,Asian,EconDisadvantaged,SPED,LEP
6602045,East Hills Middle School,540,2.222222222222,3.888888888888,0,0.925925925925,2.037037037037,89.629629629629,1.296296296296,33.33,10.925925925925,1.296296296296
6602046,East Pointe Elementary School,799,3.128911138923,5.006257822277,0,0.625782227784,3.629536921151,85.982478097622,1.62703379224,42.43,15.644555694618,1.752190237797
6603047,Hackett Elementary School,310,1.290322580645,0.322580645161,0,0,5.16129032258,93.225806451612,0,63.55,13.225806451612,0
6603048,Hackett High School,300,3.333333333333,2.333333333333,0,0.666666666666,2.666666666666,90.333333333333,0.666666666666,58.33,13.666666666666,0
6604051,Hartford Elementary School,149,2.684563758389,6.711409395973,0,3.355704697986,0,87.248322147651,0,100,18.791946308724,0
6604052,Hartford High School,149,9.395973154362,3.355704697986,0,0.671140939597,0,81.208053691275,5.369127516778,100,10.738255033557,0
6605056,Lavaca Elementary School,360,2.5,6.944444444444,0,0.555555555555,7.222222222222,81.944444444444,0.833333333333,60.28,12.5,0.555555555555
6605057,Lavaca High School,236,0.847457627118,2.966101694915,0,0.423728813559,0,94.491525423728,1.271186440677,49.58,12.28813559322,0.423728813559
6605058,Lavaca Middle School,254,0.393700787401,5.905511811023,0.393700787401,0.787401574803,4.330708661417,87.795275590551,0.393700787401,57.48,11.417322834645,1.968503937007
6606060,Mansfield Elementary School,293,3.754266211604,2.047781569965,0,0.341296928327,0.341296928327,90.443686006825,3.071672354948,72.7,11.262798634812,2.047781569965
6606061,Mansfield Middle School,252,1.587301587301,3.571428571428,0,0,0,92.063492063492,2.777777777777,65.48,13.888888888888,0.79365079365
6606062,Mansfield High School,294,2.04081632653,3.401360544217,0,0.340136054421,0,92.176870748299,2.04081632653,56.46,10.544217687074,0
6701001,Dequeen Elementary School,524,0.381679389312,60.496183206106,0.381679389312,3.053435114503,1.526717557251,32.633587786259,1.526717557251,77.86,7.824427480916,54.770992366412
6701002,Dequeen Primary,667,1.349325337331,62.668665667166,1.049475262368,3.448275862068,2.098950524737,28.935532233883,0.449775112443,83.21,7.796101949025,38.530734632683
6701003,Dequeen High School,491,2.64765784114,58.452138492871,1.0183299389,5.091649694501,0,31.975560081466,0.81466395112,71.49,6.313645621181,29.531568228105
