LEA,LEADescription,SchoolEnrollment,SchoolChoiceTotal
6003130,Pinewood Elementary School,454,0
6003135,College Station Elem. School,212,1
6003136,North Pulaski High School,668,0
6003137,Arnold Drive Elementary School,242,0
6003139,Oakbrooke Elementary School,549,0
6003140,Northwood Middle School,372,0
6003141,Murrell Taylor Elem. School,437,0
6003142,Pine Forest Elementary School,524,0
6003143,Joe T. Robinson Middle School,458,1
6003146,Bates Elementary School,457,1
6003149,Maumelle Middle School,769,1
6003150,Chenal Elementary School,525,3
6003151,Maumelle High School,1059,1
6091001,Ark. School For The Blind Elem,37,0
6091002,Ark. School For The Blind H.S.,39,0
