LEA,LEADescription,OverallAttendanceRate,HispanicAttendanceRate,AfricanAmericanAttendanceRate,CaucasianAttendanceRate,EconDisadAttendanceRate,SPEDAttendanceRate,LEPAttendanceRate,TAGGAttendanceRate,OverallGraduationRate,HispanicGraduationRate,AfricanAmericanGraduationRate,CaucasianGraduationRate,EconDisadGraduationRate,SPEDGraduationRate,LEPGraduationRate,TAGGGraduationRate,DropoutRate,GradeInflationRateEOC,GradeInflationRateACT,CollegeRemediationRate,DistrictProvidesTextbooks,Oct1Enrollment,Accredited,AccreditedCited,AccreditedProbationary,NeedsImprovement,NeedsImprovementPriority,NeedsImprovementPriorityMetYear1ExitCriteria,NeedsImprovementFocus,NeedsImprovementFocusMetYear1ExitCriteria,Achieving,Exemplary,Rating,OverallPoints,A_Rating_Count,B_Rating_Count,C_Rating_Count,D_Rating_Count,F_Rating_Count
0407703,Pea Ridge Manufacturing & Business Academy,94.13,97.06,95.52,93.47,92.85,95.09,98.71,93.59,96.77,RV,RV,96.43,100.00,RV,RV,100.00,4.6,,,,Y,87,N,N,Y,Y,N,N,N,N,N,N,,,,,,,
0440701,Arkansas Arts Academy Elementary/Middle School,94.44,95.58,92.85,93.79,94.42,94.6,96.13,94.46,RV,RV,RV,RV,RV,RV,RV,RV,0,,,,Y,520,Y,N,N,Y,N,N,N,N,N,N,C,220,0,0,1,0,0
0440703,Arkansas Arts Academy High School,96.04,96.63,97.8,95.68,96,95.48,95.65,95.76,96.61,RV,RV,95.92,100.00,RV,RV,100.00,2.1,,18.60,30.36,Y,238,N,N,Y,Y,N,N,N,N,N,N,B,265,0,1,0,0,0
0442702,Northwest Arkansas Classical Academy,95.37,96.49,94.6,95.21,94.55,94.45,94.22,94.45,RV,RV,RV,RV,RV,RV,RV,RV,,,,,Y,405,Y,N,N,N,N,N,N,N,Y,N,B,265,0,1,0,0,0
0442703,Northwest Arkansas Classical Academy High ,94.65,95.95,0,93.1,92.26,91.87,96.18,93.39,RV,RV,RV,RV,RV,RV,RV,RV,0,,,,Y,117,Y,N,N,N,N,N,N,N,Y,N,B,267,0,1,0,0,0
0501001,Alpena Elementary School,93.75,89.65,92.28,94.1,94.27,93.42,96.98,94.2,RV,RV,RV,RV,RV,RV,RV,RV,,,,,Y,295,Y,N,N,Y,N,N,N,N,N,N,C,239,0,0,1,0,0
0501002,Alpena High School,93.88,95,98.3,93.72,94.25,94.56,0,94.47,89.29,RV,RV,88.89,86.67,RV,RV,86.67,1.33,,71.40,82.35,Y,226,Y,N,N,Y,N,N,N,N,N,N,C,233,0,0,1,0,0
0502006,Bergman Elementary School,94.24,93.26,91.48,94.51,94.2,93.56,0,94.23,RV,RV,RV,RV,RV,RV,RV,RV,,,,,Y,399,Y,N,N,Y,N,N,N,N,N,N,C,231,0,0,1,0,0
0502007,Bergman High School,94.83,94.9,0,94.89,94.86,94.82,0,94.68,95.18,RV,RV,95.00,93.75,RV,RV,94.44,2.43,,12.50,45.83,Y,371,Y,N,N,N,N,N,N,N,Y,N,B,253,0,1,0,0,0
0502008,Bergman Middle School,96.69,93.85,98.6,97.16,96.43,97.8,0,96.79,RV,RV,RV,RV,RV,RV,RV,RV,0,,,,Y,362,Y,N,N,Y,N,N,N,N,N,N,B,243,0,1,0,0,0
