LEA,LEADescription,Expulsions,WeaponsIncidents,StaffAssaults,StudentAssaults
4901003,Caddo Hills High School,,1,,
4902006,Mount Ida Elementary School,,,,10
4902007,Mount Ida High School,,1,,
5006022,Prescott Elementary School,,,,
5006023,McRae Middle School,,1,,
5006024,Prescott High School,1,,,11
5008013,Nevada Elementary School,,,,
5008014,Nevada High  School,,,,
5102005,Jasper Elementary School,,,,
5102006,Jasper High School,,,,
5102007,Kingston Elementary School,,,,
5102008,Kingston High School,,,,
5102023,Oark Elementary School,,,,
5102024,Oark High School,,3,,
5106001,Deer Elementary School,,,,6
5106002,Deer High School,,,,
5106009,Mount Judea Elementary School,,,,
5106010,Mount Judea High School,,,,
5201001,Bearden Elementary School,1,,2,5
5201002,Bearden High School,3,,4,
5204021,Fairview Elementary School,,,5,20
5204023,Camden Fairview High School,6,,3,17
5204025,Ivory Primary School,,7,8,74
5204026,Camden Fairview Intermediate,,,1,1
5204028,Camden Fairview Middle School,,,,
5205011,Sparkman Elementary School,,,,
5205012,Sparkman High School,,,,
5205028,Harmony Grove Elem. School,,,,
5205029,Harmony Grove High School,1,,,
5206032,Stephens Elementary School,,,,
5206033,Stephens High School,,,,
5301001,Anne Watson Elementary School,,,,
5301002,Bigelow High School,,,,
5303010,Perryville Elementary School,,,,
5303011,Perryville High School,,2,,
5401002,Barton Elementary School,,,,
5401003,Barton High School,1,2,2,5
5403019,Central High School,9,1,15,3
5403020,Eliza Miller Primary School,,1,,
5403021,Eliza Miller Elementary School,,,,
5403022,Central High School,,,,
5404030,Marvell-Elaine Elementary Sch,1,,,
5404032,Marvell-Elaine High School,3,,3,1
5440701,Kipp Delta Elem Literacy Acad,,,,
5440702,Kipp:delta College Prep School,,,,
5440703,Kipp:delta Collegiate High Sch,,,,
5440705,Kipp: Blytheville College Prep,,,,2
5440706,Kipp Blytheville Collegiate High School,,,,
5502006,Centerpoint Primary School,,,,
5502008,Centerpoint Intermediate Sch,,,,1
5502010,Centerpoint High School,,3,1,4
